,year,month,global,northern,southern,bin
118,1889,11,-0.33,-0.61,-0.06,1
119,1889,12,-0.28,-0.54,-0.03,2
120,1890,1,-0.41,-0.63,-0.2,1
121,1890,2,-0.44,-0.56,-0.32,1
122,1890,3,-0.4,-0.46,-0.33,1
123,1890,4,-0.29,-0.24,-0.34,2
124,1890,5,-0.39,-0.35,-0.43,1
125,1890,6,-0.24,-0.15,-0.33,2
126,1890,7,-0.27,-0.23,-0.32,2
127,1890,8,-0.38,-0.38,-0.39,1
128,1890,9,-0.36,-0.34,-0.38,1
129,1890,10,-0.24,-0.09,-0.39,2
130,1890,11,-0.42,-0.62,-0.24,1
131,1890,12,-0.3,-0.46,-0.16,2
132,1891,1,-0.34,-0.47,-0.2,1
133,1891,2,-0.46,-0.68,-0.25,1
134,1891,3,-0.18,-0.16,-0.2,2
135,1891,4,-0.27,-0.35,-0.19,2
136,1891,5,-0.16,-0.15,-0.17,2
137,1891,6,-0.2,-0.12,-0.28,2
138,1891,7,-0.17,-0.12,-0.23,2
139,1891,8,-0.17,-0.12,-0.22,2
140,1891,9,-0.15,-0.08,-0.23,2
141,1891,10,-0.22,-0.28,-0.16,2
142,1891,11,-0.31,-0.52,-0.1,1
143,1891,12,-0.04,-0.03,-0.05,2
144,1892,1,-0.28,-0.49,-0.08,2
145,1892,2,-0.1,-0.15,-0.06,2
146,1892,3,-0.4,-0.67,-0.14,1
147,1892,4,-0.33,-0.45,-0.21,1
148,1892,5,-0.23,-0.23,-0.23,2
149,1892,6,-0.22,-0.05,-0.38,2
150,1892,7,-0.31,-0.37,-0.26,1
151,1892,8,-0.27,-0.32,-0.21,2
152,1892,9,-0.16,-0.2,-0.13,2
153,1892,10,-0.14,-0.28,0.0,2
154,1892,11,-0.41,-0.82,-0.02,1
155,1892,12,-0.38,-0.65,-0.11,1
156,1893,1,-0.81,-1.52,-0.12,0
157,1893,2,-0.57,-0.97,-0.17,1
158,1893,3,-0.22,-0.31,-0.12,2
159,1893,4,-0.27,-0.3,-0.24,2
160,1893,5,-0.33,-0.43,-0.24,1
161,1893,6,-0.25,-0.18,-0.32,2
162,1893,7,-0.13,-0.13,-0.14,2
163,1893,8,-0.24,-0.33,-0.17,2
164,1893,9,-0.22,-0.28,-0.16,2
165,1893,10,-0.18,-0.28,-0.08,2
166,1893,11,-0.18,-0.33,-0.03,2
167,1893,12,-0.31,-0.6,-0.02,1
168,1894,1,-0.52,-0.91,-0.13,1
169,1894,2,-0.29,-0.42,-0.15,2
170,1894,3,-0.23,-0.21,-0.24,2
171,1894,4,-0.44,-0.54,-0.35,1
172,1894,5,-0.3,-0.26,-0.34,2
173,1894,6,-0.4,-0.4,-0.4,1
174,1894,7,-0.23,-0.2,-0.26,2
175,1894,8,-0.23,-0.26,-0.2,2
176,1894,9,-0.27,-0.32,-0.22,2
177,1894,10,-0.23,-0.27,-0.17,2
178,1894,11,-0.25,-0.47,-0.03,2
179,1894,12,-0.2,-0.35,-0.06,2
180,1895,1,-0.4,-0.69,-0.12,1
181,1895,2,-0.42,-0.81,-0.05,1
182,1895,3,-0.32,-0.49,-0.16,1
183,1895,4,-0.21,-0.18,-0.24,2
184,1895,5,-0.26,-0.29,-0.24,2
185,1895,6,-0.2,-0.2,-0.21,2
186,1895,7,-0.16,-0.18,-0.14,2
187,1895,8,-0.16,-0.26,-0.06,2
188,1895,9,-0.12,-0.05,-0.18,2
189,1895,10,-0.1,-0.09,-0.12,2
190,1895,11,-0.16,-0.12,-0.2,2
191,1895,12,-0.13,-0.22,-0.05,2
192,1896,1,-0.21,-0.35,-0.07,2
193,1896,2,-0.12,-0.18,-0.06,2
194,1896,3,-0.26,-0.49,-0.03,2
195,1896,4,-0.3,-0.6,-0.01,2
196,1896,5,-0.15,-0.16,-0.14,2
197,1896,6,-0.1,0.08,-0.28,2
198,1896,7,-0.02,0.01,-0.04,2
199,1896,8,-0.05,-0.1,0.01,2
200,1896,9,-0.07,-0.12,-0.01,2
201,1896,10,0.07,0.05,0.09,3
202,1896,11,-0.04,-0.2,0.13,2
203,1896,12,-0.04,-0.21,0.13,2
204,1897,1,-0.15,-0.4,0.1,2
205,1897,2,-0.17,-0.42,0.08,2
206,1897,3,-0.13,-0.4,0.12,2
207,1897,4,-0.02,-0.05,0.01,2
208,1897,5,-0.01,0.14,-0.15,2
209,1897,6,-0.11,-0.06,-0.16,2
210,1897,7,-0.02,0.04,-0.07,2
211,1897,8,-0.09,-0.06,-0.11,2
212,1897,9,-0.08,-0.06,-0.1,2
213,1897,10,-0.12,-0.14,-0.09,2
214,1897,11,-0.17,-0.26,-0.09,2
215,1897,12,-0.19,-0.26,-0.12,2
216,1898,1,-0.01,0.07,-0.09,2
217,1898,2,-0.29,-0.42,-0.15,2
218,1898,3,-0.5,-0.78,-0.23,1
219,1898,4,-0.3,-0.27,-0.33,2
220,1898,5,-0.29,-0.26,-0.33,2
221,1898,6,-0.18,-0.06,-0.29,2
222,1898,7,-0.21,-0.09,-0.32,2
223,1898,8,-0.25,-0.16,-0.35,2
224,1898,9,-0.21,-0.16,-0.25,2
225,1898,10,-0.34,-0.36,-0.32,1
226,1898,11,-0.37,-0.5,-0.25,1
227,1898,12,-0.22,-0.25,-0.2,2
228,1899,1,-0.15,-0.11,-0.19,2
229,1899,2,-0.38,-0.64,-0.13,1
230,1899,3,-0.35,-0.57,-0.13,1
231,1899,4,-0.2,-0.23,-0.17,2
232,1899,5,-0.22,-0.23,-0.22,2
233,1899,6,-0.31,-0.34,-0.27,1
234,1899,7,-0.15,-0.16,-0.15,2
235,1899,8,-0.08,-0.06,-0.1,2
236,1899,9,-0.04,-0.04,-0.04,2
237,1899,10,-0.04,0.05,-0.12,2
238,1899,11,0.14,0.38,-0.09,3
239,1899,12,-0.25,-0.45,-0.05,2
240,1900,1,-0.35,-0.6,-0.09,1
241,1900,2,-0.05,-0.13,0.03,2
242,1900,3,0.01,0.07,-0.04,3
243,1900,4,-0.08,-0.09,-0.07,2
244,1900,5,-0.08,-0.02,-0.13,2
245,1900,6,-0.09,-0.08,-0.08,2
246,1900,7,-0.12,-0.1,-0.12,2
247,1900,8,-0.08,-0.07,-0.07,2
248,1900,9,-0.04,-0.01,-0.06,2
249,1900,10,0.11,0.25,-0.01,3
250,1900,11,-0.05,-0.1,0.01,2
251,1900,12,-0.06,-0.01,-0.09,2
252,1901,1,-0.21,-0.32,-0.1,2
253,1901,2,-0.1,-0.08,-0.12,2
254,1901,3,0.07,0.29,-0.14,3
255,1901,4,-0.02,0.12,-0.15,2
256,1901,5,-0.15,-0.11,-0.18,2
257,1901,6,-0.11,0.02,-0.24,2
258,1901,7,-0.14,0.03,-0.29,2
259,1901,8,-0.2,-0.15,-0.24,2
260,1901,9,-0.21,-0.26,-0.17,2
261,1901,10,-0.28,-0.31,-0.26,2
262,1901,11,-0.17,-0.21,-0.12,2
263,1901,12,-0.26,-0.39,-0.14,2
264,1902,1,-0.17,-0.15,-0.18,2
265,1902,2,-0.06,0.03,-0.14,2
266,1902,3,-0.27,-0.37,-0.17,2
267,1902,4,-0.27,-0.37,-0.17,2
268,1902,5,-0.31,-0.37,-0.24,1
269,1902,6,-0.29,-0.34,-0.22,2
270,1902,7,-0.27,-0.31,-0.22,2
271,1902,8,-0.29,-0.26,-0.3,2
272,1902,9,-0.28,-0.32,-0.24,2
273,1902,10,-0.28,-0.28,-0.27,2
274,1902,11,-0.34,-0.43,-0.25,1
275,1902,12,-0.4,-0.58,-0.22,1
276,1903,1,-0.22,-0.2,-0.24,2
277,1903,2,-0.05,0.13,-0.22,2
278,1903,3,-0.21,-0.12,-0.3,2
279,1903,4,-0.4,-0.44,-0.35,1
280,1903,5,-0.39,-0.41,-0.36,1
281,1903,6,-0.41,-0.43,-0.39,1
282,1903,7,-0.34,-0.43,-0.27,1
283,1903,8,-0.44,-0.53,-0.35,1
284,1903,9,-0.49,-0.48,-0.5,1
285,1903,10,-0.47,-0.47,-0.47,1
286,1903,11,-0.41,-0.41,-0.43,1
287,1903,12,-0.49,-0.55,-0.46,1
288,1904,1,-0.62,-0.76,-0.5,0
289,1904,2,-0.57,-0.58,-0.56,1
290,1904,3,-0.47,-0.39,-0.56,1
291,1904,4,-0.49,-0.49,-0.5,1
292,1904,5,-0.51,-0.42,-0.59,1
293,1904,6,-0.47,-0.47,-0.48,1
294,1904,7,-0.5,-0.58,-0.42,1
295,1904,8,-0.48,-0.53,-0.43,1
296,1904,9,-0.55,-0.62,-0.47,1
297,1904,10,-0.38,-0.37,-0.38,1
298,1904,11,-0.16,-0.07,-0.25,2
299,1904,12,-0.32,-0.33,-0.31,1
300,1905,1,-0.34,-0.41,-0.27,1
301,1905,2,-0.58,-0.81,-0.35,1
302,1905,3,-0.21,-0.22,-0.2,2
303,1905,4,-0.33,-0.45,-0.2,1
304,1905,5,-0.29,-0.28,-0.28,2
305,1905,6,-0.27,-0.26,-0.27,2
306,1905,7,-0.26,-0.2,-0.3,2
307,1905,8,-0.19,-0.22,-0.16,2
308,1905,9,-0.18,-0.18,-0.17,2
309,1905,10,-0.24,-0.25,-0.21,2
310,1905,11,-0.06,0.1,-0.2,2
311,1905,12,-0.12,-0.16,-0.07,2
312,1906,1,-0.27,-0.55,0.02,2
313,1906,2,-0.29,-0.52,-0.04,2
314,1906,3,-0.18,-0.19,-0.16,2
315,1906,4,-0.04,0.05,-0.14,2
316,1906,5,-0.25,-0.24,-0.26,2
317,1906,6,-0.19,-0.11,-0.27,2
318,1906,7,-0.22,-0.25,-0.18,2
319,1906,8,-0.19,-0.15,-0.22,2
320,1906,9,-0.28,-0.23,-0.32,2
321,1906,10,-0.19,-0.16,-0.23,2
322,1906,11,-0.36,-0.39,-0.34,1
323,1906,12,-0.14,0.04,-0.33,2
324,1907,1,-0.42,-0.57,-0.27,1
325,1907,2,-0.5,-0.71,-0.29,1
326,1907,3,-0.26,-0.3,-0.23,2
327,1907,4,-0.36,-0.44,-0.28,1
328,1907,5,-0.45,-0.57,-0.33,1
329,1907,6,-0.41,-0.49,-0.32,1
330,1907,7,-0.34,-0.39,-0.29,1
331,1907,8,-0.33,-0.37,-0.29,1
332,1907,9,-0.33,-0.39,-0.27,1
333,1907,10,-0.22,-0.18,-0.25,2
334,1907,11,-0.45,-0.54,-0.35,1
335,1907,12,-0.46,-0.56,-0.35,1
336,1908,1,-0.44,-0.53,-0.34,1
337,1908,2,-0.32,-0.27,-0.37,1
338,1908,3,-0.54,-0.69,-0.39,1
339,1908,4,-0.44,-0.47,-0.4,1
340,1908,5,-0.37,-0.29,-0.45,1
341,1908,6,-0.37,-0.3,-0.46,1
342,1908,7,-0.34,-0.35,-0.34,1
343,1908,8,-0.45,-0.56,-0.35,1
344,1908,9,-0.35,-0.3,-0.41,1
345,1908,10,-0.43,-0.44,-0.43,1
346,1908,11,-0.51,-0.62,-0.4,1
347,1908,12,-0.48,-0.54,-0.43,1
348,1909,1,-0.71,-0.92,-0.5,0
349,1909,2,-0.45,-0.45,-0.46,1
350,1909,3,-0.54,-0.66,-0.41,1
351,1909,4,-0.58,-0.64,-0.52,1
352,1909,5,-0.54,-0.48,-0.59,1
353,1909,6,-0.51,-0.5,-0.51,1
354,1909,7,-0.44,-0.43,-0.45,1
355,1909,8,-0.32,-0.34,-0.32,1
356,1909,9,-0.38,-0.36,-0.41,1
357,1909,10,-0.39,-0.32,-0.46,1
358,1909,11,-0.31,-0.11,-0.52,1
359,1909,12,-0.55,-0.56,-0.55,1
360,1910,1,-0.41,-0.35,-0.49,1
361,1910,2,-0.41,-0.37,-0.45,1
362,1910,3,-0.5,-0.49,-0.52,1
363,1910,4,-0.41,-0.4,-0.44,1
364,1910,5,-0.33,-0.28,-0.38,1
365,1910,6,-0.37,-0.43,-0.32,1
366,1910,7,-0.33,-0.36,-0.3,1
367,1910,8,-0.35,-0.38,-0.33,1
368,1910,9,-0.38,-0.42,-0.34,1
369,1910,10,-0.4,-0.3,-0.5,1
370,1910,11,-0.54,-0.57,-0.52,1
371,1910,12,-0.66,-0.8,-0.52,0
372,1911,1,-0.61,-0.69,-0.52,0
373,1911,2,-0.56,-0.57,-0.55,1
374,1911,3,-0.6,-0.63,-0.57,1
375,1911,4,-0.52,-0.44,-0.6,1
376,1911,5,-0.5,-0.44,-0.57,1
377,1911,6,-0.49,-0.32,-0.65,1
378,1911,7,-0.4,-0.35,-0.45,1
379,1911,8,-0.43,-0.43,-0.44,1
380,1911,9,-0.4,-0.37,-0.43,1
381,1911,10,-0.26,-0.18,-0.32,2
382,1911,11,-0.2,-0.19,-0.2,2
383,1911,12,-0.2,-0.29,-0.1,2
384,1912,1,-0.24,-0.34,-0.13,2
385,1912,2,-0.13,-0.16,-0.11,2
386,1912,3,-0.37,-0.59,-0.13,1
387,1912,4,-0.16,-0.15,-0.17,2
388,1912,5,-0.2,-0.11,-0.28,2
389,1912,6,-0.22,-0.12,-0.31,2
390,1912,7,-0.41,-0.51,-0.31,1
391,1912,8,-0.53,-0.76,-0.29,1
392,1912,9,-0.57,-0.79,-0.33,1
393,1912,10,-0.56,-0.83,-0.29,1
394,1912,11,-0.38,-0.5,-0.24,1
395,1912,12,-0.42,-0.55,-0.28,1
396,1913,1,-0.39,-0.55,-0.23,1
397,1913,2,-0.44,-0.64,-0.24,1
398,1913,3,-0.42,-0.46,-0.37,1
399,1913,4,-0.39,-0.5,-0.28,1
400,1913,5,-0.43,-0.54,-0.32,1
401,1913,6,-0.44,-0.48,-0.39,1
402,1913,7,-0.35,-0.5,-0.19,1
403,1913,8,-0.33,-0.45,-0.2,1
404,1913,9,-0.34,-0.42,-0.26,1
405,1913,10,-0.32,-0.39,-0.24,1
406,1913,11,-0.19,-0.13,-0.23,2
407,1913,12,-0.01,0.12,-0.13,2
408,1914,1,0.06,0.18,-0.07,3
409,1914,2,-0.09,-0.1,-0.08,2
410,1914,3,-0.23,-0.35,-0.11,2
411,1914,4,-0.28,-0.37,-0.18,2
412,1914,5,-0.2,-0.18,-0.22,2
413,1914,6,-0.25,-0.22,-0.27,2
414,1914,7,-0.23,-0.33,-0.12,2
415,1914,8,-0.15,-0.27,-0.04,2
416,1914,9,-0.16,-0.29,-0.03,2
417,1914,10,-0.03,0.0,-0.04,2
